rfc_num,rule
1255,objectClass= usStateOrEquivalent
1255,description= State of California
1255,localityName= California
1255,localityName= CA
1255,fipsStateAlphaCode= CA
1255,localityName= Santa Clara
1255,objectClass= usCountyOrEquivalent
1255,stateOrProvinceName= CA
1255,description= County of Santa Clara
1255,localityName= Mountain View
1255,localityName= San Jose
1255,addmdName= PSINet
1255,objectClass= nadfADDMD
1279,DomainComponent=UK
1292,C=fr;A=atlas;P=e3x;O=e3x;S=Brun
1320,AA = A
1320,BB = B
1320,CC = C
1320,DD = D
1321,AA = A
1321,BB = B
1321,CC = C
1321,DD = D
1327,preferred-recipient = mailbox
1327,mta              = word
1327,C=ch;ADMD=arcom;PRMD=switch;O=switch;OU=cosine-mhs;
1328,PD-ADDRESS=Empire State Building;  PRMD=XX; ADMD=ZZ; C=US;
1328,CN=Postmaster; O=A; ADMD=B; C=GB;
1330,surName= Anderson
1330,surName= Brown
1330,surName= Green
1330,surName= Jones
1330,surName= Smith
1330,surName= White
1331,v = b;
1341,boundary=gc0p4Jq0M2Yt08jU534c0p
1341,access-type=AFS
1342,charset = token    ; legal charsets defined by RFC 1341
1343,implicitwild = type
1345,Equals                     = Cyrillic
1345,K=     041a    CYRILLIC CAPITAL LETTER KA
1345,L=     041b    CYRILLIC CAPITAL LETTER EL
1345,M=     041c    CYRILLIC CAPITAL LETTER EM
1345,N=     041d    CYRILLIC CAPITAL LETTER EN
1345,P=     041f    CYRILLIC CAPITAL LETTER PE
1345,Y=     042b    CYRILLIC CAPITAL LETTER YERU
1345,k=     043a    CYRILLIC SMALL LETTER KA
1345,l=     043b    CYRILLIC SMALL LETTER EL
1345,m=     043c    CYRILLIC SMALL LETTER EM
1345,n=     043d    CYRILLIC SMALL LETTER EN
1345,p=     043f    CYRILLIC SMALL LETTER PE
1345,y=     044b    CYRILLIC SMALL LETTER YERU
1345,W=     20a9    WON SIGN
1352,msgIsValidated = FALSE;
1374,H  =  Host computer
1374,PP  =  Outboard Protocol Processor
1374,G  =  Gateway
1404,n = Polling or aggregation period
1404,j = Entry number
1404,n = Period over which the peak is calculated
1404,m = The peak period length
1405,xx  = country code of the gateway performing the conversion
1405,yyy = Admd of the gateway performing the conversion
1405,zzz = Prmd of the gateway performing the conversion
1405,ooo = Organisation of the gateway performing the conversion
1405,C=it; ADMD=garr; DD.Dnet=HEP; DD.Mail-11=X4TDEC::USER47;
1405,C=it; ADMD=garr; DD.Dnet=HEP; DD.Mail-11=MYNODE::BETTY;
1405,C=it; ADMD=garr; DD.Dnet=HEP; DD.Mail-11=BOSTON::GOOFY1::MARY34;
1405,C=it; ADMD=garr; DD.Dnet=HEP;
1405,C=it; ADMD=garr; DD.Dnet=HEP; DD.Mail-11=MIAMI2::George.Rosenthal;
1405,C=gb; ADMD=Gold 400; PRMD=AC.UK; O=ucl; OU=cs; G=Jim; S=Clay;
1405,C=fr; ADMD=atlas; PRMD=ifip; O=poly; S=Moreau;
1405,PRMD=Botwa;O=Miner;S=Chiuaw;(q)
1405,C=gb; ADMD=Gold 400; PRMD=AC.UK; O=UCL; OU=cs; G=Jim; S=Clay;
1405,C=it; A=garr; P=dom1; O=gw1; OU=RELAY; S=BETTY(p)MYNODE;
1405,C=it; ADMD=garr; DD.Dnet=HEP; DD.Mail-11=RELAY::MYNODE::BETTY;
1405,C=it; A=garr; P=Trieste; O=Elettra; S=Allocchio; G=Claudio;
1415,trans   =    transient error
1415,perman  =    permanent error
1446,msgIsValidated = FALSE;
1465,S=user; O=org ltd.; OU1=sect1; P=org; A=rel400; C=aq;
1465,G=john; I=w; S=doe; P=org; A=rel400; C=aq;
1465,S=nosuchuser; to do connectivity and availability
1465,C=ch; matches only case a).
1465,"C=CH; operates MTA-B, only connected to public X.25.  A second"
1465,P=REMOTE; A=ARCOM; C=CH;.  It is therefore possible to set RELAY-MTA
1465,C=CH;ADMD=ARCOM;PRMD=REMOTE;O=Big-Org is documented with its own
1465,P=SWITCH; A=ARCOM; C=CH;
1465,S=Eppenberger; O=SWITCH; P=SWITCH; A=ARCOM; C=CH;
1484,CN=GB
1484,Organisation=UN
1485,C=GB
1485,CN=Christian Huitema; O=INRIA; C=FR
1485,"O=INRIA; C=FR>.  Another example, shows how different attribute types"
1485,CN=GB
1491,c=CH; a=ARCOM; p=SWITCH; o=ETHZ; ou=TIK; s=Lanz (lanz@tik.ethz.ch)
1491,c=CH;o=ETH Zurich.
1494,page-length=A4
1494,page-width=A4
1494,resolution=Coarse
1494,page-length=A4             no bit set
1494,page-width=A4              no bit set
1494,resolution=Coarse          no bit set
1494,class=formatted
1505,r = i;
1506,xxxE = xxx Entity ;   SDE = Submission & Delivery Entity
1506,C=zz
1506,ADMD=ade
1506,PRMD=fhbo
1506,O=a bank
1506,S=plork
1506,G=mary
1506,G=jo; S=plork; O=a bank; OU1=owe; OU2=you; P=fhbo; A=ade; C=zz
1506,G=jo; S=plork; OU=you; OU=owe; O=a bank; PRMD=fhbo; ADMD=ade; C=zz
1506,C=zz; ADMD=ade; PRMD=fhbo; O=a bank; OU=owe; OU=you; S=plork; G=jo
1506,C=zz; ADMD=ade; PRMD=fhbo; O=tlec; S=plork; ->
1506,C=zz; ADMD=ade; PRMD=fhbo; O=a bank; S=plork->
1506,C=zz; ADMD=ade; PRMD=fhbo; O=tlec; S=plork; G=mary
1506,C=zz; ADMD=ade; PRMD=fhbo; O=tlec; S=plork;     ->
1506,C=nl; ADMD= ; PRMD=tlec; O=gateway
1506,C=us; ADMD=dole; S=bush
1506,C=B;...;S=Z
1506,C=nl; ADMD=ade; PRMD=tlec; O=owe; OU=you; S=plork; GQ=jr
1506,C=nl; ADMD=ade; PRMD=tlec; O=owe; OU=spc ctr; OU=u; S=plork
1506,C=nl; ADMD=ade; PRMD=tlec; O=you; OU=owe; S=plork
1506,C=nl; ADMD=ade; PRMD=tlec; O=owe; OU=space ctr;
1506,OU=u; S=plork; GQ=jr
1506,C=nl; ADMD=ade; PRMD=tlec; O=work
1506,C=us; ADMD=Internet; PRMD=gateway
1506,P=tlec; A=ade; C=nl;       # tlec.nl
1506,C=CH
1506,TSEL=0103Hex
1510,tempkey = NULL;
1521,boundary=gc0p4Jq0M2Yt08jU534c0p
1521,access-type=AFS
1522,charset = token    ; see section 3
1522,encoding = token   ; see section 4
1524,implicitwild = type
1532,B = BROADCAST flag
1542,B = BROADCAST flag
1549,v = b;
1564,surname=XXX
1564,objectClass=person AND
1574,clnpAddrTable = SEQUENCE OF ClnpAddrEntry
1574,clnpAdEntAddr = ClnpAddress
1574,clnpAdEntIfIndex = INTEGER;
1574,clnpRoutingTable =  SEQUENCE OF ClnpRouteEntry;
1578,a=shadow angle of vertical stick
1593,other    = free form DisplayString
1608,objectClass= organizationalUnit
1608,organizationalUnitName= IP networks
1608,description= root of IP number tree
1608,organizationalUnitName= AS numbers
1608,description= root of Autonomous System number space
1615,O=rare;S=houttuin;
1615,O=jnt;I=J;S=Craigie;
1617,CN=Directory Manager
1617,CN=Postmaster
1617,CN=Secretary
1617,P=switch; A=arcom; C=ch;
1617,country=CH
1617,associatedDomain=ch
1617,friendlyCountryName=CH
1617,friendlyCountryName=Confoederatio Helvetica
1617,friendlyCountryName=Schweiz
1617,friendlyCountryName=Suisse
1617,friendlyCountryName=Svizzera
1617,friendlyCountryName=Switzerland
1617,description=Swiss Academic and Research Network
1617,organizationName=SWIss TeleCommunication system for Higher
1617,organizationName=Swiss Academic and Research Network
1617,organizationName=SWITCH
1617,localityName=Zuerich
1617,localityName=Zurich
1617,stateOrProvinceName=ZH
1617,stateOrProvinceName=Zuerich
1617,stateOrProvinceName=Zurich
1617,organizationalUnitName=SWITCHdirectory
1617,commonName=Directory Manager
1617,description=SWITCH Directory Managers
1617,commonName=Postmaster
1617,commonName=Helpdesk
1617,commonName=Secretary
1617,commonName=Thomas Lenggenhager
1617,surname=Lenggenhager
1617,userPassword=secret
1617,A=arcom; C=ch;
1632,s=info;p=cdc;a=attmail;c=us
1644,CCsend = CCgen;
1646,SOH = 0X01
1646,R = 0XD9
1648,Surname=User; <Other X.400 Address Elements>
1648,Surname=Postmaster; <Same X.400 Address Elements>
1648,CommonName=Postmaster; <Same X.400 Address Elements>
1649,ADMD=Internet; PRMD=XNREN; with O=UW-Madison and they are using OU=cs
1649,C=US; ADMD=Internet; PRMD=xnren; O=UW-Madison; OU=cs; S=user;
1649,C=us; ADMD=Internet; PRMD=Internet; DD.RFC-822=user(a)some.place.edu;
1649,C=us; ADMD=Internet; PRMD=Internet;
1649,C=IT; ADMD=MASTER400; DD.RFC-822=user(a)some.place.it
1649,C=GB; ADMD= ; PRMD=UK.AC; O=MHS-relay; DD.RFC-822=user(a)some.place.uk
1649,C=us; ADMD=ATTMail; PRMD=CDC; O=CPG; S=Lastname; G=Firstname;
1649,G=Alf; S=Hansen; O=uninett; P=uninett; C=no
1662,v = b;
1664,C=de; ADMD=pkz; PRMD=nfc; O=top;
1664,S=Allocchio;G=Claudio;
1664,S=giordano;
1685,G=john; S=smith; O=a bank ltd; P=abl; A=snomail; C=aq
1685,g=per;s=hansen;o=teledir;ou1=forskning;p=tele;a=telemax;c=no
1685,G=harald
1689,C=nl; ADMD=400net; PRMD=surf; O=rare; S=raresec;
1711,OU=orgunB;. Since MTA B in the same organisation serves all other
1711,C=zz;A=a;P=p;O=oo;S=plork ->
1711,C=zz;A=a;
1738,gtype          = xchar
1746,Name=Acceptable and Unacceptable Use of Net Resources (K12)
1755,S = Specified
1755,MBS = Maximum Burst Size
1768,AI = Multicast Announcement information supported
1768,MI = Multicast Address Mapping information supported
1768,M = Mandatory;  O = Optional;  - = not applicable
1779,C=GB
1779,CN=Christian Huitema; O=INRIA; C=FR
1779,"O=INRIA; C=FR>.  Another example, shows how different attribute types"
1781,C=GB
1781,Organisation=UN
1786,pref=MED is specified the preference indicated by the remote AS via
1795,CurrentWindow = InitialWindowSize
1795,CurrentWindow    = InitialWindowSize
1795,FCACKOwed        = FALSE
1795,GrantDelayed     = FALSE
1795,GrantDelayed = FALSE
1795,GrantDelayed = TRUE
1795,FCACKOwed     = TRUE
1795,FCACKOwed = FALSE
1795,FCACK            = FALSE
1795,FCACKOwed = FALSE;
1801,P=ABC; A=XYZMail; C=GB;
1801,A=Mailnet; C=FI;
1802,OU=ARH; O=CPG; P=CDC; A=ATTMail; C=US
1824,type=         human
1824,name=         Hadmut Danisch
1835,AUTHENTICATE= password                                   GLOBAL
1835,value=phone;search=substring
1835,search-all=Peter ; search=substring;case=consider
1836,"I=S; S=Kille; OU1=CS; O=UCL,"
1836,A=Mailnet; C=FI;
1837,A=Mailnet; C=FI;
1838,A=Mailnet; C=FI;
1849,separator       = eol
1849,hh            = 2digit
1849,mm            = 2digit
1849,ss            = 2digit
1849,whogets-delimiter  = eol
1857,n = Polling or aggregation period
1857,j = Entry number
1857,n = Period over which the peak is calculated
1857,m = The peak period length
1876,cp = ascii;
1876,latit = lltemp1;
1876,longit = lltemp2;
1876,longit = lltemp1;
1876,latit = lltemp2;
1876,bcp = binary;
1876,rcp = binary;
1876,cp = tmpbuf;
1876,latdeg = latval;
1876,longdeg = longval;
1889,rsp = rspn;
1889,n = members;
1889,n = senders;
1891,addr-type = atom
1891,sub-domain = atom
1891,ORCPT=rfc822;Bob@Big-Bucks.COM
1891,ORCPT=rfc822;Carol@Ivory.EDU
1891,ORCPT=rfc822;Dana@Ivory.EDU
1891,ORCPT=rfc822;Eric@Bombs.AF.MIL
1891,ORCPT=rfc822;George@Tax-ME.GOV
1891,boundary=abcde
1891,boundary=bcdef
1891,boundary=cdefg
1891,boundary=defgh
1894,address-type = atom
1894,diagnostic-type = atom
1894,mta-name-type = atom
1894,extension-field-name = atom
1894,boundary=foobar
1914,ServerList = OriginalServers;
1936,CLR    = zero the register
1936,OE     = write the register onto the data bus
1936,CLK    = clock to cycle the pipeline operation
1936,ICLK   = input data latch clock
1936,ADD    = initiating an add of latched input data
1942,valign=baseline should be vertically positioned so that the
1945,name = definition
1945,type           = token
1945,subtype        = token
1945,attribute      = token
1945,product-version = token
1945,field-name     = token
1945,extension-method = token
1945,auth-scheme    = token
1952,c = (unsigned long) n;
1977,i = hsize;
1977,ent = proto;
1977,ent = c;
1977,bp = cmsg;
1977,wptr0 = wptr;
1977,oldcode = CLEAR;
1977,oldcode = incode;
1978,orgdest = dest;
1978,len3 = len1;
2002,Identification = Network Time Protocol timestamp or Nonce
2020,DA = destination address (six octets)
2020,SA = source address (six octets)
2022,index2 = K;
2024,EntryType = group;  GroupDefinition = pointer to an enterprise-
2024,Index = the retrieved index; Mac = the MAC address; Mask = all
2024,Location = OID for dlswTConnConfigEntry of the 1st partner; Status
2040,from = keyBytes;
2040,to = keyBytesCopy;
2040,P = ffffffffffffffff7875dbf6738c647811223344556677
2040,C = 7875dbf6738c64787cb3f1df34f948117fd1a023a5bba217
2047,charset = token    ; see section 3
2047,encoding = token   ; see section 4
2056,database       = uchar
2056,docid          = uchar
2056,elementset     = uchar
2056,recordsyntax   = uchar
2058,Login-Service = Telnet
2058,Framed-Protocol = PPP
2058,Framed-Routing = None
2065,NK = no key type value
2065,AL = algorithm byte
2065,PR = protocols indicated by protocol byte or protocol flags
2065,hash = MD5 ( data )
2067,H  =  Host computer
2067,PP  =  Outboard Protocol Processor
2067,G  =  Gateway
2068,charset = token
2068,content-coding   = token
2068,transfer-extension      = token
2068,chunk-ext-name = token
2068,type           = token
2068,subtype        = token
2068,attribute      = token
2068,product-version = token
2068,other-range-unit = token
2068,field-name     = token
2068,extension-method = token
2068,auth-scheme    = token
2068,connection-token  = token
2068,protocol-name     = token
2068,protocol-version  = token
2068,pseudonym         = token
2083,"m =  Yr Yg Yb
     Zr Zg Zb"
2083,c = (unsigned long) n;
2104,ipad = the byte 0x36 repeated B times
2104,key = tk;
2104,key =         0x0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
2104,digest =      0x9294727a3638bb1c13f48ef8158bfc9d
2104,digest =      0x750c783e6ab0b503eaa86e310a5db738
2104,key =         0xAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
2104,digest =      0x56be34521d144c88dbb8c733f0e8b3f6
2109,attr            =       token
2109,value           =       word
2116,a=MAILNET; c=FI
2136,zrr = rr
2138,Login-Service = Telnet
2138,Framed-Protocol = PPP
2138,Framed-Routing = None
2156,c=gb; a= ; p=uk.ac; o=mr; dd.rfc-822=(a)relay.co.uk:userb(a)host2;
2156,c=us; a=MCI; P=relay; dd.rfc-822=Tom(u)Harris(a)cs.widget.com;
2156,c=gb; a=BTglobal; P=relay; dd.rfc-822=postmaster(a)UK.alter.net;
2156,S=Support; O=sales;  A=Master400; C=it;
2156,S=renseignements; O=Region Parisienne; P=autoroutes; A=atlas; C=fr;
2156,S=Rossi; DD.cap=20100; DD.ph1=Via Larga 11; DDA.city=Milano;
2156,A=PtPostel; C=it;
2156,G=Andy; S=Wharol; O=MMNY; A=ATT; C=us;
2156,preferred-recipient = mailbox
2156,mta              = word
2156,mta-name = word
2156,S=MailFLOW;O=MailFLOW;P=DANTE;A=mailnet;C=fi;
2157,mime-type = word
2157,g1 = NULL
2157,g2 = NULL
2157,g3 = NULL
2157,c1 = NULL
2159,page-length=A4
2159,page-width=A4
2159,resolution=Coarse
2159,page-length=A4             no bit set
2159,page-width=A4              no bit set
2159,resolution=Coarse          no bit set
2162,xx  = country code of the gateway performing the conversion
2162,yyy = Admd of the gateway performing the conversion
2162,zzz = Prmd of the gateway performing the conversion
2162,ooo = Organisation of the gateway performing the conversion
2162,C=it; ADMD=garr; DD.Dnet=OMNI; DD.Mail-11=.IT.DM.X4TDEC::USER47;
2162,C=it; ADMD=garr; DD.Dnet=OMNI; DD.Mail-11=MYNODE::BETTY;
2162,C=it; ADMD=garr; DD.Dnet=OMNI; DD.Mail-11=BOSTON::GOOFY1::MARY34;
2162,C=it; ADMD=garr; DD.Dnet=OMNI;
2162,C=it; ADMD=garr; DD.Dnet=ENET;
2162,C=gb; ADMD=G400; PRMD=AC.UK; O=ucl; S=Clay;
2162,C=fr; ADMD=atlas; PRMD=ifip; O=poly; S=Moreau;
2162,PRMD=Botwa;O=Miner;S=Chiuaw;(q)
2162,C=gb; ADMD=Gold 400; PRMD=AC.UK; O=UCL; OU=cs; G=Jim; S=Clay;
2162,C=it; A=garr; P=dom1; O=gw1; OU=RELAY; S=BETTY(p)MYNODE;
2162,C=it; ADMD=garr; DD.Dnet=HEP;
2162,C=it; ADMD=garr; DD.Dnet=OMNI; DD.Mail-11=RELAY::MYNODE::BETTY;
2162,C=it; A=garr; P=Trieste; O=Elettra; S=Allocchio; G=Claudio;
2163,C=de; ADMD=pkz; PRMD=nfc; O=top;
2163,S=Allocchio;G=Claudio;
2164,P=Isode; A=Mailnet; C=FI
2167,crlf = cr lf
2167,year = 4digit
2167,month = 2digit
2167,day = 2digit
2167,hour = 2digit
2167,minute = 2digit
2167,second = 2digit
2167,milli-second = 3digit
2167,error-code = 3digit
2167,C =a0sQ
2167,S =vZ2x
2168,terminal = false;
2168,terminal = true;
2168,key = newkey;
2168,rewriteflag = true;
2192,ucs4 = utf16;
2192,ucs4 = c;
2202,key =           0x0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
2202,digest =        0x9294727a3638bb1c13f48ef8158bfc9d
2202,digest =        0x750c783e6ab0b503eaa86e310a5db738
2202,key =           0xaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
2202,digest =        0x56be34521d144c88dbb8c733f0e8b3f6
2202,key =           0x0102030405060708090a0b0c0d0e0f10111213141516171819
2202,digest =        0x697eaf0aca3a3aea3a75164746ffaa79
2202,key =           0x0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
2202,digest =        0x56461ef2342edc00f9bab995690efd4c
2202,digest =        0x6b1ab7fe4bd7bf8f0b62e6ce61b9d0cd
2202,digest =        0x6f630fad67cda0ee1fb1f562db3aa53e
2202,key =           0x0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
2202,digest =        0xb617318655057264e28bc0b6fb378c8ef146be00
2202,digest =        0xeffcdf6ae5eb2fa2d27416d5f184df9c259a7c79
2202,key =           0xaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
2202,digest =        0x125d7342b9ac11cd91a39af48aa17b4f63f175d3
2202,digest =        0x4c9007f4026250c6bc8414f9bf50c86c2d7235da
2202,key =           0x0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
2202,digest =        0x4c1a03424b55e07fe7f27be1d58bb9324a9a5a04
2202,digest-96 =     0x4c1a03424b55e07fe7f27be1
2202,digest =        0xaa4ae5e15272d00e95705637ce8a3b55ed402112
2202,digest =        0xe8e99d0f45237d786d6bbaa7965c7808bbff1a91
2229,cmd-word    = atom
2229,database    = atom
2229,strategy    = atom
2234,b           =  binary
2234,d           =  decimal
2234,x           =  hexadecimal
2234,"CHAR           =  %x01-7F
                       ; any 7-bit US-ASCII character,
                          excluding NUL"
2243,type              = token
2243,argument          = token
2244,acl-rights         = quoted
2246,RSA = none
2252,CountryString  = p p
2252,ruleidentifier = integer
2252,initial = value
2252,final = value
2254,initial    = value
2254,final      = value
2256,object-class = woid
2256,ttx-term   = printablestring
2256,ttx-value  = octetstring
2256,actual-number = printablestring
2256,country       = printablestring
2256,answerback    = printablestring
2263,snmpTargetAddrTDomain     = snmpUDPDomain
2264,temp = keyOld;
2266,DA = destination address (six octets)
2266,SA = source address (six octets)
2268,Ciphertext = ebb773f9 93278eff
2268,Key = ffffffff ffffffff
2268,Plaintext = ffffffff ffffffff
2268,Ciphertext = 278b27e4 2e2f0d49
2268,Ciphertext = 30649edf 9be7d2c2
2268,Ciphertext = 61a8a244 adacccf0
2268,Key = 88bca90e 90875a
2268,Ciphertext = 6ccf4308 974c267f
2268,Key = 88bca90e 90875a7f 0f79c384 627bafb2
2268,Ciphertext = 1a807d27 2bbe5db1
2268,Ciphertext = 2269552a b0f85ca6
2268,Ciphertext = 5b78d3a4 3dfff1f1
2273,snmpTargetAddrTDomain     = snmpUDPDomain
2274,temp = keyOld;
2280,med = igp;                     # igp is not one of the enum values
2286,key =               0x0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
2286,digest =            0x24cb4bd67d20fc1a5d2ed7732dcc39377f0a5668
2286,digest =            0xdda6c0213a485a9e24f4742064a7f033b43c4069
2286,key =               0xaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
2286,digest =            0xb0b105360de759960ab4f35298e116e295d8e7c1
2286,key =               0x0102030405060708090a0b0c0d0e0f10111213141516171819
2286,digest =            0xd5ca862f4d21d5e610e18b4cf1beb97a4365ecf4
2286,key =               0x0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
2286,digest =            0x7619693978f91d90539ae786500ff3d8e0518e39
2286,digest-96 =         0x7619693978f91d90539ae786
2286,digest =            0x6466ca07ac5eac29e1bd523e5ada7605b791fd8b
2286,digest =            0x69ea60798d71616cce5fd0871e23754cd75d5a0a
2286,key =               0x0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b
2286,digest =            0xfbf61f9492aa4bbf81c172e84e0734db
2286,digest =            0x875f828862b6b334b427c55f9f7ff09b
2286,key =               0xaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
2286,digest =            0x09f0b2846d2f543da363cbec8d62a38d
2286,digest =            0xbdbbd7cf03e44b5aa60af815be4d2294
2286,key =               0x0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c
2286,digest =            0xe79808f24b25fd031c155f0d551d9a3a
2286,digest-96 =         0xe79808f24b25fd031c155f0d
2286,digest =            0xdc732928de98104a1f59d373c150acbb
2286,digest =            0x5c6bec96793e16d40690c237635f30c5
2286,key = tk;
2294,"I=S; S=Kille; OU1=CS; O=UCL,"
2295,source-quality = qvalue
2295,extension-name      = token
2298,address-type = atom
2298,mta-name-type = atom
2298,disposition-modifier-extension = atom
2298,extension-field-name = atom
2301,Count = number of strips
2301,Count = SamplesPerPixel
2301,Count = number of child IFDs
2302,Application=foo
